#,Company,Location_HQ,Country,Continent,Laid_Off,Date_layoffs,Percentage,Company_Size_before_Layoffs,Company_Size_after_layoffs,Industry,Stage,Money_Raised_in_$_mil,Year,lat,lng,Symbol,Date_datetime
3262,Inspirato,Denver,USA,North America,130.0,2020-03-16,22.0,591.0,461.0,Travel,Series C,$79,2020,39.73915,-104.9847,ISPO,2020-03-16
3239,Leafly,Seattle,USA,North America,91.0,2020-03-23,50.0,182.0,91.0,Retail,Acquired,$2,2020,47.60621,-122.33207,LFLY,2020-03-23
3237,Compass,New York City,USA,North America,375.0,2020-03-23,15.0,2500.0,2125.0,Real Estate,Series G,$1600,2020,40.71427,-74.00597,COMP,2020-03-23
3229,Sonder,San Francisco Bay Area,USA,North America,400.0,2020-03-24,33.0,1212.0,812.0,Travel,Series D,$359,2020,37.77493,-122.41942,SOND,2020-03-24
3193,Mogo,Vancouver,Canada,North America,78.0,2020-03-27,30.0,260.0,182.0,Finance,Post-IPO,$201,2020,49.24966,-123.11934,MOGO,2020-03-27
3184,Bird,Los Angeles,USA,North America,406.0,2020-03-27,30.0,1353.0,947.0,Transportation,Series D,$623,2020,34.05223,-118.24368,BLBD,2020-03-27
3177,ZipRecruiter,Los Angeles,USA,North America,400.0,2020-03-29,39.0,1026.0,626.0,Recruiting,Series B,$219,2020,34.05223,-118.24368,ZIP,2020-03-29
3107,1stdibs,New York City,USA,North America,70.0,2020-04-02,17.0,412.0,342.0,Retail,Series D,$253,2020,40.71427,-74.00597,DIBS,2020-04-02
3073,Astra,San Francisco Bay Area,USA,North America,40.0,2020-04-05,25.0,160.0,120.0,Aerospace,Unknown,$100,2020,37.77099,-122.26087,ASTR,2020-04-05
3046,Toast,Boston,USA,North America,1300.0,2020-04-07,50.0,2600.0,1300.0,Food,Series F,$902,2020,42.35843,-71.05977,TOST,2020-04-07
3049,Redfin,Seattle,USA,North America,236.0,2020-04-07,7.0,3371.0,3135.0,Real Estate,Post-IPO,$319,2020,47.60621,-122.33207,RDFN,2020-04-07
3048,Sage Therapeutics,Boston,USA,North America,340.0,2020-04-07,53.0,642.0,302.0,Healthcare,Post-IPO,$438,2020,42.35843,-71.05977,SAGE,2020-04-07
